,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Report.Status,Event.Year
76376,Accident,2015-03-12,Non-Fatal,Substantial,Airplane,BOEING,Personal,0.0,0.0,0.0,1.0,"The pilot's failure to maintain directional control while landing in a gusty crosswind, which resulted in a runway excursion and a nose over.",2015
76377,Accident,2015-03-12,Non-Fatal,Substantial,Airplane,JABIRU USA SPORT AIRCRAFT LLC,Instructional,0.0,0.0,0.0,2.0,"The student pilot's failure to maintain directional control during landing roll, which resulted in a loss of control. Contributing to this accident was the flight instructor's delayed remedial action.",2015
76381,Accident,2015-03-13,Non-Fatal,Substantial,Airplane,AVIAT,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during landing.,2015
76386,Accident,2015-03-14,Non-Fatal,Minor,Balloon,ULTRAMAGIC SA,Other Work Use,0.0,0.0,1.0,10.0,"The pilot's selection of unsuitable terrain for landing after noting a higher-than-anticipated wind speed and the balloon's high descent rate, which resulted in a hard landing.",2015
76387,Accident,2015-03-15,Fatal,Substantial,Airplane,KOLB,Personal,1.0,0.0,0.0,0.0,"The student pilots failure to maintain adequate airspeed while maneuvering, which resulted in the airplane exceeding its critical angle-of-attack and experiencing an aerodynamic stall. Contributing to the accident was the student pilot's decision to operate the airplane at a low altitude that did not allow for stall recovery. ",2015
76389,Accident,2015-03-15,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,1.0,0.0,1.0,The separation of the nosewheel upon landing due to a missing bolt that attached the upper torque assembly to the nosewheel steering arm assembly. When and how the bolt separated could not be determined.,2015
76391,Accident,2015-03-16,Non-Fatal,Substantial,Airplane,MOONEY AIRCRAFT CORP.,Personal,0.0,0.0,0.0,1.0,"The pilot's improper decision to attempt a nighttime landing at an unsuitable airport, which resulted in a collision with the precision approach path indicator.",2015
76392,Accident,2015-03-16,Non-Fatal,Substantial,Airplane,BEECH,Personal,0.0,0.0,0.0,1.0,"The pilot's improper fuel planning, which resulted in fuel exhaustion, and a loss of engine power enroute.",2015
76393,Accident,2015-03-16,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,"The pilot's loss of directional control during a bounced landing, which resulted in a runway excursion.",2015
76394,Accident,2015-03-16,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,1.0,0.0,0.0,The pilot's failure to maintain directional control during the landing roll.,2015
76395,Accident,2015-03-17,Fatal,Destroyed,Airplane,CESSNA,Aerial Observation,1.0,0.0,0.0,0.0,"The pilot's decision to continue a visual flight rules flight into known instrument flight rules conditions, which resulted in controlled flight into terrain.",2015
76396,Accident,2015-03-17,Non-Fatal,Substantial,Airplane,GRUMMAN ACFT ENG COR-SCHWEIZER,Aerial Application,0.0,1.0,0.0,0.0,"The loss of engine power due to three stuck exhaust valves.",2015
76398,Accident,2015-03-17,Non-Fatal,Substantial,Airplane,BEECH,Ferry,0.0,0.0,0.0,2.0,"The pilot's improper fuel planning, which resulted in fuel exhaustion, and a loss of engine power en-route.",2015
76399,Accident,2015-03-18,Non-Fatal,Substantial,Airplane,LANSHE AEROSPACE,Personal,0.0,0.0,1.0,0.0,"The pilot's failure to extend the landing gear during the approach, which resulted in a gear-up landing.",2015
76400,Accident,2015-03-18,Non-Fatal,Substantial,Airplane,FLIGHT DESIGN,Personal,0.0,0.0,0.0,1.0,"The pilot's improper recovery from a bounced landing, which resulted in a loss of control.",2015
76401,Accident,2015-03-18,Non-Fatal,Substantial,Airplane,AMERICAN CHAMPION AIRCRAFT,Personal,0.0,0.0,0.0,2.0,"The pilot's failure to maintain directional/pitch control during final approach, resulting in a collision with terrain.",2015
76402,Accident,2015-03-19,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,1.0,0.0,0.0,The pilot's excessive braking during the landing roll.,2015
76403,Accident,2015-03-19,Non-Fatal,Substantial,Airplane,COSTRUZIONI AERONAUTICHE TECNA,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during takeoff.,2015
76404,Accident,2015-03-19,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,3.0,1.0,0.0,"The pilot's failure to maintain directional control during the landing roll, which resulted in a runway excursion and collision with terrain.",2015
76406,Accident,2015-03-20,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,"The pilot's failure to use carburetor heat during the flight while operating in conditions conducive to carburetor icing, which resulted in a total loss of engine power due to carburetor icing. Contributing to the accident was the pilot's decision to take off in low visibility conditions, which precluded him from being able to locate a suitable emergency landing area.",2015
76409,Accident,2015-03-20,Non-Fatal,Substantial,Airplane,DIAMOND AIRCRAFT IND INC,Personal,0.0,0.0,0.0,1.0,"The pilot's failure to maintain control of the airplane during the landing roll, which resulted in a runway overrun.",2015
76410,Accident,2015-03-21,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,2.0,"Failure of the left main landing gear lower adjusting bolt due to overstress, which resulted in the left main landing gear collapse during landing.",2015
76411,Accident,2015-03-21,Non-Fatal,Substantial,Airplane,VANS,Personal,0.0,2.0,0.0,0.0,The total loss of engine power during initial climb due to the disconnection of both fuel pump power wires.,2015
76412,Accident,2015-03-21,Non-Fatal,Substantial,Airplane,MCCURRY CHARLES P,Personal,0.0,0.0,2.0,0.0,The partial loss of engine power during final approach for reasons that could not be determined during postaccident examination of the engine.,2015
76414,Accident,2015-03-21,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,2.0,"The pilot's failure to attain the proper touchdown point on the short, wet, turf runway. Contributing to the accident was the pilots use of a high approach speed.",2015
76417,Accident,2015-03-22,Non-Fatal,Substantial,Airplane,BEECH,Personal,0.0,0.0,0.0,2.0,The pilot's failure to maintain directional control during landing.,2015
76418,Accident,2015-03-23,Non-Fatal,Substantial,Airplane,PICARD ROY J,Personal,0.0,1.0,1.0,0.0,A total loss of engine power for reasons that could not be determined because postaccident examination of the airplane revealed no evidence of any mechanical anomalies that would have precluded normal operation.,2015
76419,Accident,2015-03-23,Non-Fatal,Substantial,Airplane,HAWKER BEECHCRAFT CORP,Personal,0.0,1.0,0.0,0.0,"The pilot's inadequate fuel planning, which resulted in fuel exhaustion and a total loss of engine power.",2015
76420,Accident,2015-03-23,Non-Fatal,Substantial,Airplane,CESSNA,Unknown,0.0,0.0,0.0,1.0,The pilot involved and the phase of flight when the damage occurred were not determined.,2015
76422,Accident,2015-03-24,Non-Fatal,Substantial,Airplane,CESSNA,Flight Test,0.0,1.0,0.0,1.0,"The fuel pump gear manufacturers allowance of set-up gears made from a nonconforming material to be put in the production inventory system, the installation of a nonconforming gear in the accident airplanes production fuel pump, and the gears failure, which resulted in a loss of fuel flow to the engine and the subsequent loss of engine power.
",2015
76423,Accident,2015-03-24,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,1.0,0.0,0.0,Loss of engine power due to fuel contamination. A factor contributing to the accident was the pilot's inadequate preflight.,2015
76424,Accident,2015-03-24,Non-Fatal,Substantial,Weight-Shift,TRICK TRIKES,Instructional,0.0,2.0,0.0,0.0,"The student pilot applicants failure to clear the engine during a prolonged descent of a simulated engine failure and his subsequent rapid throttle input at the completion of the maneuver, which resulted in the engines failure to respond. Contributing to the accident was the sport pilot applicant's decision to turn the aircraft away from a suitable landing area before adding power.",2015
76425,Accident,2015-03-24,Non-Fatal,Destroyed,Airplane,BELLANCA,Ferry,0.0,0.0,0.0,1.0,The pilot's failure to ensure that the airplane's landing gear was down and locked prior to touchdown.,2015
76427,Accident,2015-03-24,Non-Fatal,Substantial,Airplane,CESSNA,Instructional,0.0,0.0,0.0,2.0,"The failure of the engine to regain normal power after a simulated engine failure due to carburetor icing, which resulted in a forced landing on muddy terrain and a subsequent nose-over.",2015
76431,Accident,2015-03-26,Fatal,Substantial,Airplane,PIPER,Personal,1.0,0.0,1.0,0.0,"The pilot's decision to depart on and to continue a visual flight rules flight over mountainous terrain into instrument meteorological conditions, which resulted in controlled flight into terrain. Contributing to the accident was the pilot's lack of recent instrument flight experience, which exacerbated his difficulty in maintaining control of the airplane while encountering downdrafts and mountain obscuration conditions.",2015
76432,Accident,2015-03-26,Non-Fatal,Substantial,Airplane,AIR TRACTOR INC,Flight Test,0.0,0.0,1.0,0.0,"The in-flight separation of the left aileron's attachment hardware at the connection between the long aileron pushrod and the left aileron bellcrank. Contributing to the accident was maintenance personnels improper installation of, or failure to install, the left aileron attachment hardware.",2015
76433,Accident,2015-03-26,Non-Fatal,Substantial,Airplane,CESSNA,Instructional,0.0,0.0,0.0,2.0,"The flight instructor's decision to land the airplane without sufficient runway to stop, resulting in a runway excursion and substantial damage to the right wing of the airplane.",2015
76434,Accident,2015-03-27,Non-Fatal,Substantial,Airplane,AIR TRACTOR INC,Aerial Application,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during landing.,2015
76435,Accident,2015-03-27,Non-Fatal,Substantial,Airplane,DAVID SHELL,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during a precautionary off airport landing.,2015
76436,Accident,2015-03-27,Non-Fatal,Substantial,Airplane,SPAULDING ERROL,Personal,0.0,0.0,1.0,1.0,"The pilots decision to take off in a crosswind that exceeded the airplanes maximum demonstrated crosswind capability and his subsequent inability to maintain directional control.  ",2015
76437,Accident,2015-03-27,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,2.0,0.0,"The partial loss of engine power after takeoff for undetermined reasons, which necessitated a forced landing, during which the airplane impacted trees and a power line.",2015
76438,Accident,2015-03-28,Fatal,Substantial,Airplane,PIPER,Personal,2.0,0.0,0.0,0.0,"The pilot' failure to maintain adequate airspeed after takeoff, which resulted in the airplane's wing exceeding its critical angle-of-attack and a subsequent aerodynamic stall. Contributing to the accident was the pilot's decision to conduct the flight without obtaining a flight review or refresher training. 


",2015
76439,Accident,2015-03-28,Non-Fatal,Substantial,Airplane,CESSNA,Aerial Application,0.0,0.0,0.0,1.0,The pilot did not maintain directional control of the airplane in gusting wind conditions.,2015
76440,Accident,2015-03-28,Non-Fatal,Substantial,Airplane,CESSNA,Instructional,0.0,0.0,0.0,1.0,The student pilot's failure to maintain attitude control during landing flare.,2015
76442,Accident,2015-03-28,Non-Fatal,Substantial,Airplane,CUB CRAFTERS,Personal,0.0,0.0,1.0,0.0,"The pilots failure to maintain clearance from trees during a base-to-final turn while landing toward the sun.",2015
76443,Accident,2015-03-28,Non-Fatal,Substantial,Airplane,KERR JOHN A,Personal,0.0,0.0,0.0,1.0,"The pilot's inadequate preflight inspection/planning, which resulted in fuel exhaustion, and a loss of engine power en route.",2015
76445,Accident,2015-03-29,Fatal,Substantial,Airplane,PIPER,Instructional,1.0,0.0,0.0,0.0,"The student pilot's failure to maintain adequate airspeed after takeoff, which resulted in the airplane exceeding its critical angle-of-attack and experiencing an aerodynamic stall.",2015
76446,Accident,2015-03-29,Non-Fatal,Substantial,Airplane,BEECH,Personal,0.0,2.0,2.0,0.0,"The pilot's decision to depart from an upsloping, soft grass runway at or near the airplane's maximum gross weight and with a high density altitude, which increased the airplane's ground roll and placed the airplane in close proximity to trees during the initial climb, and the pilot's subsequent inability to adequately compensate for gusting wind conditions, which resulted in a stall/mush and impact with trees and terrain during takeoff.",2015
76447,Accident,2015-03-29,Fatal,Destroyed,Airplane,PIPER,Personal,2.0,0.0,0.0,0.0,"The failure of the flight instructor and the pilot to abort the takeoff after the airplane experienced a partial loss of engine power with adequate runway remaining, and their subsequent failure to maintain adequate airspeed, which led to the airplane exceeding its critical angle-of-attack and experiencing an aerodynamic stall. Contributing to the accident was an intermittent loss of engine power for reasons that could not be determined during postaccident examination of the wreckage due to extensive postcrash fire damage.",2015
76448,Accident,2015-03-29,Non-Fatal,Substantial,Airplane,MERIAN RICHARD F,Air Race show,0.0,0.0,0.0,2.0,"The RV-8 pilot's failure to maintain adequate clearance from the RV-6 while maneuvering during an air show, which resulted in a midair collision.",2015
76450,Accident,2015-03-29,Non-Fatal,Substantial,Glider,LET,Instructional,0.0,1.0,0.0,1.0,"The inadvertent deployment of the air brakes during initial climb, resulting in a loss of lift. Contributing to the accident was the pilot's failure to identify and remediate the cause.",2015
76455,Accident,2015-03-30,Non-Fatal,Substantial,Airplane,BEECH,Personal,0.0,0.0,0.0,3.0,"A partial loss of engine power during initial takeoff climb for reasons that could not be determined because postaccident examination revealed no evidence of a mechanical anomaly that would have precluded normal operation. 
 ",2015
76456,Accident,2015-03-31,Non-Fatal,Substantial,Airplane,CESSNA,Instructional,0.0,0.0,0.0,2.0,"The flight instructor's inadequate supervision of the student while landing, which resulted in a ground loop. Contributing to the accident was the student pilots failure to maintain directional control of the tailwheel-equipped airplane during the landing roll. 

            

 
",2015
76457,Accident,2015-03-31,Non-Fatal,Substantial,Airplane,G-DAWG LLC,Business,0.0,0.0,2.0,0.0,"The pilot's failure to maintain airplane control during a go-around in gusting tailwind conditions, which resulted in a collision with trees.",2015
76458,Accident,2015-03-31,Fatal,Destroyed,Airplane,AIRCRAFT MFG & DVLPMT CO,Personal,2.0,0.0,0.0,0.0,The pilot's excessively high angle-of-attack on rotation that prevented the airplane from climbing sufficiently to avoid the approaching trees.,2015
76460,Accident,2015-03-31,Non-Fatal,Substantial,Airplane,FIEBICH PAUL DEAN,Personal,0.0,1.0,0.0,0.0,"The pilot's inadequate compensation for wind conditions during the landing, which resulted in a hard landing and separation of the left main landing gear.",2015
76461,Accident,2015-04-01,Fatal,Destroyed,Airplane,BEDECORP LLC,Flight Test,1.0,0.0,0.0,0.0,"The pilot's excessive pitch control inputs to the airplanes sidestick control, which resulted in an overstress of the airframe and its subsequent in-flight breakup. Contributing to the accident was the pilot's decision to operate the airplane contrary to the manufacturer's flight test policy.",2015
76462,Accident,2015-04-01,Non-Fatal,Substantial,Airplane,LANCAIR COMPANY,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during landing. Contributing to the accident was the pilot's inadequate compensation for the crosswind during landing.,2015
76464,Accident,2015-04-01,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,"The pilot's loss of directional control during landing, resulting in a collision with terrain.",2015
76466,Accident,2015-04-02,Fatal,Destroyed,Airplane,CESSNA,Instructional,1.0,0.0,0.0,0.0,The noninstrument-rated pilot's controlled flight into terrain due to an inadvertent encounter with clouds in dark night conditions. Contributing to the accident was the pilot's decision to fly at night in marginal visual meteorological conditions without the proper training and without obtaining a weather briefing.,2015
76467,Accident,2015-04-03,Fatal,Destroyed,Airplane,QUICKSILVER ENTERPRISES INC,Personal,1.0,0.0,0.0,0.0,"The pilot's failure to maintain control of the airplane while maneuvering, which resulted in an uncontrolled descent and structural failure. Contributing to the accident was the pilot's impairment from his use of diphenhydramine.",2015
76469,Accident,2015-04-03,Fatal,Destroyed,Airplane,S C AEROSTAR S A,Personal,1.0,0.0,0.0,0.0,"The pilots loss of airplane control while maneuvering for reasons that could not be determined because an examination of the airframe and engine did not reveal any preimpact abnormalities. ",2015
76470,Accident,2015-04-03,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,3.0,"The pilot's excessive descent rate during approach, which resulted in a hard landing.",2015
76471,Accident,2015-04-04,Non-Fatal,Substantial,Airplane,BEECH,Personal,0.0,0.0,1.0,0.0,"The pilot's use of an incorrect radio frequency when attempting to turn on the runway lights, resulting is an attempt to land the airplane while aligned with airport hangar lights.",2015
76472,Accident,2015-04-04,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,2.0,0.0,1.0,"The engine failure due to oil starvation, which resulted from the installation of an unapproved oil quick drain valve that subsequently led to the inadvertent draining of the oil when the nose landing gear was retracted. Contributing to the accident was the lack of required warning placards on the engine mounts.",2015
76474,Accident,2015-04-04,Non-Fatal,Substantial,Airplane,JABIRU,Personal,0.0,0.0,0.0,1.0,"The pilot's inadequate fuel planning, which resulted in a total loss of engine power due to fuel exhaustion.",2015
76475,Accident,2015-04-04,Non-Fatal,Substantial,Airplane,CESSNA,Positioning,0.0,0.0,0.0,2.0,"A blown nose landing gear tire during landing, which resulted in the pilots inability to maintain directional control.",2015
76477,Accident,2015-04-04,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,"The pilot's failure to maintain directional control during the landing roll, which resulted in a runway excursion.",2015
76479,Accident,2015-04-05,Non-Fatal,Substantial,Glider,SCHLEICHER,Personal,0.0,0.0,1.0,0.0,"The glider's encounter with severe turbulent atmospheric conditions after the pilot inadvertently entered clouds, which led to his inability to maintain a proper airspeed and the subsequent in-flight breakup of the glider.",2015
76480,Accident,2015-04-05,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain airplane control while taxiing in unfavorable wind conditions.,2015
76481,Accident,2015-04-06,Non-Fatal,Substantial,Airplane,MOONEY,Personal,0.0,0.0,0.0,2.0,A total loss of engine power during takeoff due to an interruption of fuel flow to the engine. The reason for the interruption of the fuel flow could not be determined during postaccident examination and testing.,2015
76483,Accident,2015-04-06,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,The pilot's improper flare which resulted in a loss of control and subsequent hard landing.,2015
76484,Accident,2015-04-07,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,1.0,0.0,0.0,The pilot's failure to perform a go-around in time to prevent a runway overrun and collision with terrain.,2015
76485,Accident,2015-04-07,Fatal,Substantial,Airplane,CESSNA,Personal,7.0,0.0,0.0,0.0,"The pilot's failure to maintain control of the airplane during the instrument approach in night instrument meteorological conditions, which resulted in the airplane exceeding its critical angle of attack and an aerodynamic stall/spin. Contributing to the accident were pilot fatigue, the pilot's increased workload during the instrument approach resulting from the lack of glideslope guidance due to an inadequately connected/secured glideslope antenna cable, and the airplane being loaded aft of its balance limit.",2015
76486,Accident,2015-04-07,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,"The pilot's improper landing flare, which resulted in a hard landing, the nosewheel tire bursting, and a subsequent porpoise and nose-over.",2015
76488,Accident,2015-04-10,Non-Fatal,Substantial,Airplane,GULFSTREAM AEROSPACE,Positioning,0.0,0.0,0.0,2.0,"The in-flight failure of the cabin pressurization relief/safety valve (CPRV) due to an obstruction of the CPRV static port, which allowed the airplane to overpressurize. The reason for the initial overpressurization condition could not be determined.",2015
76489,Accident,2015-04-10,Fatal,Substantial,Airplane,CESSNA,Personal,4.0,0.0,0.0,0.0,"The pilot's attempt to depart in conditions that resulted in the airplane having insufficient performance capability, which resulted in a collision with a tree.",2015
76491,Accident,2015-04-10,Non-Fatal,Substantial,Airplane,RENNICKE MIDGET MUSTA,Personal,0.0,0.0,0.0,1.0,"The pilot's failure attain/maintain pitch control prior to attaining a proper takeoff speed during takeoff roll, which resulted in a premature liftoff of the airplane and loss of control.",2015
76492,Accident,2015-04-11,Fatal,Substantial,Glider,SCHEMPP-HIRTH,Glider Tow,1.0,0.0,0.0,0.0,"The pilots failure to maintain adequate airspeed and his exceedance of the gliders critical angleofattack during the initial climb after a ground-tow launch, which resulted in an aerodynamic stall/spin.",2015
76493,Accident,2015-04-11,Fatal,Substantial,Airplane,QUAD CITY,Personal,1.0,0.0,0.0,0.0,"The pilots incapacitation due to a cardiovascular event, which resulted in a loss of control and subsequent impact with terrain.
",2015
76494,Accident,2015-04-11,Non-Fatal,Substantial,Airplane,AERONCA,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain control of the airplane while encountering a wind gust after landing.,2015
76495,Accident,2015-04-11,Non-Fatal,Substantial,Airplane,AERONCA,Personal,0.0,0.0,0.0,1.0,"The pilot's failure to properly apply carburetor heat in conditions conducive to carburetor icing, which resulted the accumulation of carburetor ice and the subsequent total loss of engine power.",2015
76496,Accident,2015-04-11,Non-Fatal,Substantial,Airplane,TROM WAYNE,Personal,0.0,0.0,0.0,1.0,"The pilot's failure to maintain directional control during the landing roll in variable, gusting wind conditions, resulting in a runway excursion, and substantial damage to the airplane.",2015
76498,Accident,2015-04-12,Fatal,Destroyed,Airplane,PIPER,Personal,4.0,0.0,0.0,0.0,A rapid onset of smoke and/or fire inflight for reasons that could not be determined due to the postimpact fire and the condition of the wreckage.,2015
76499,Accident,2015-04-12,Non-Fatal,Substantial,Balloon,ULTRAMAGIC,Other Work Use,0.0,2.0,0.0,1.0,"The pilot's failure to maintain the descent rate, resulting in a hard landing.",2015
76502,Accident,2015-04-12,Non-Fatal,Substantial,Balloon,HEAD BALLOONS INC.,Other Work Use,0.0,3.0,0.0,1.0,"The pilot's selection of unsuitable terrain/location for takeoff in gusting wind conditions, resulting in a collision with a building, and substantial damage to the hot air balloon.",2015
76504,Accident,2015-04-13,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,3.0,A total loss of engine power for reasons that could not be determined because postaccident engine examination and testing revealed no mechanical anomalies that would have precluded normal operation.,2015
76506,Accident,2015-04-13,Non-Fatal,Substantial,Airplane,CESSNA AIRCRAFT CO,Personal,0.0,0.0,1.0,0.0,"The pilot's failure to attain adequate airspeed after takeoff and his exceedance of the airplanes critical angle-of-attack during the initial climb, which resulted in an aerodynamic stall at too low an altitude to recover.",2015
76509,Accident,2015-04-14,Non-Fatal,Substantial,Airplane,CESSNA,Instructional,0.0,0.0,3.0,0.0,"Water contamination in the fuel system due to the flight instructors and pilot receiving instructions failure to drain all the water from the system during the preflight inspection, which resulted in a loss of engine power.",2015
76510,Accident,2015-04-14,Fatal,Substantial,Airplane,CESSNA,Personal,1.0,0.0,0.0,0.0,"The pilot's decision to continue flight into known icing conditions, contrary to the airplanes limitations, which resulted in a total loss of engine power due to icing.",2015
76511,Accident,2015-04-14,Fatal,Destroyed,Airplane,ROBERT C. HANSON,Personal,1.0,0.0,0.0,0.0,"The pilots continued visual flight into instrument meteorological conditions, which resulted in his failure to maintain sufficient clearance from rising terrain. ",2015
76512,Accident,2015-04-14,Non-Fatal,Substantial,Airplane,SOCATA,Instructional,0.0,0.0,0.0,2.0,"The pilot's failure to follow the Before Landing checklist and to extend the landing gear and the flight instructors inadequate supervision, which resulted in a gear-up landing.",2015
76513,Accident,2015-04-15,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,The loss of engine power during takeoff for reasons that could not be determined during postaccident examination of the engine or testing of the carburetor.,2015
76515,Accident,2015-04-15,Non-Fatal,Substantial,Airplane,GRUMMAN,Aerial Application,0.0,1.0,0.0,0.0,The loss of engine power for reasons that could not be determined because a postaccident examination of the airframe and engine did not reveal any anomalies that would have precluded normal operation.,2015
76517,Accident,2015-04-16,Non-Fatal,Substantial,Weight-Shift,P&M AVIATION LTD.,Personal,0.0,2.0,0.0,0.0,"The pilot's failure to maintain aircraft control during the takeoff roll, which resulted in a collision with the ground.",2015
76519,Accident,2015-04-16,Non-Fatal,Substantial,Airplane,UNIVERSAL STINSON,Personal,0.0,0.0,0.0,1.0,"A partial loss of engine power for reasons that could not be determined based on the available information.",2015
76520,Accident,2015-04-17,Non-Fatal,Substantial,Airplane,PIPER,Banner Tow,0.0,1.0,0.0,0.0,"Maintenance personnels failure to properly repair a propeller deformation, which resulted in a fatigue crack, separation of a propeller blade tip, and forced landing onto uneven terrain.",2015
76521,Accident,2015-04-17,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,2.0,1.0,0.0,"The total loss of engine power due to the use of an improper fuel type. Contributing to the accident were the servicing of the airplane with the improper fuel, noncompliance with an airworthiness directive, and the fuel nozzle installed on the fueling truck.",2015
76523,Accident,2015-04-17,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,2.0,"The pilot's misjudged airspeed and glidepath, which resulted in a landing area overshoot and runway excursion.",2015
76524,Accident,2015-04-17,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,"The pilot's inadequate recovery from a bounced landing, resulting in a loss of control and collision with terrain.",2015
76525,Accident,2015-04-17,Non-Fatal,Substantial,Airplane,CESSNA,Instructional,0.0,0.0,0.0,1.0,"The student pilot's failure to maintain pitch control, resulting in a hard landing.",2015
76526,Accident,2015-04-18,Non-Fatal,Substantial,Airplane,CESSNA,Unknown,0.0,1.0,0.0,0.0,The pilot's failure to maintain clearance from obstacles during an off airport precautionary landing roll.,2015
76527,Accident,2015-04-18,Fatal,Destroyed,Airplane,CESSNA,Personal,1.0,0.0,0.0,0.0,The pilot's intentional descent into terrain.,2015
76528,Accident,2015-04-18,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,4.0,"The pilot's attempt to land in strong crosswind conditions, resulting in his on-ground loss of control. Contributing to the accident was the crosswind that exceeded the crosswind limits of the airplane.",2015
76529,Accident,2015-04-18,Non-Fatal,Substantial,Airplane,MOONEY,Personal,0.0,3.0,2.0,0.0,"The pilot's inadequate weight and balance and performance planning, including his decision to take off with more passengers than permitted, and his exceedance of the airplanes critical angle of attack during the initial climb, which resulted in an aerodynamic stall and impact with terrain.",2015
76530,Accident,2015-04-18,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,3.0,"An inflight fire and a total loss of engine power due to oil starvation, after separation of the No. 3 cylinder exhaust valve rocker box cover for reasons that could not be determined based on the available information.",2015
76531,Accident,2015-04-18,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,"The pilot's failure to maintain an adequate descent rate, resulting in a hard landing.",2015
76532,Accident,2015-04-18,Non-Fatal,Substantial,Airplane,PITTS,Personal,0.0,1.0,0.0,0.0,The partial loss of engine power due to contamination of the fuel system.,2015
76533,Accident,2015-04-18,Non-Fatal,Substantial,Airplane,FLIGHT DESIGN GMBH,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during landing.,2015
76534,Accident,2015-04-18,Non-Fatal,Minor,Powered Parachute,BUCKEYE,Personal,0.0,0.0,1.0,0.0,"The noncertificated pilot's loss of directional control during takeoff, which resulted in impact with a utility pole and hangar. Contributing to the accident was the pilot's failure to obtain flight instruction before attempting to fly the aircraft.",2015
76535,Accident,2015-04-18,Non-Fatal,Substantial,Airplane,BEECH,Personal,0.0,0.0,0.0,2.0,"The pilot's failure to stop the airplane on the runway during landing, resulting in an overrun, landing gear collapse and substantial damage to the airplane.",2015
76536,Accident,2015-04-18,Non-Fatal,Substantial,Airplane,BEECH,Personal,0.0,0.0,0.0,1.0,A total loss of engine power due to fuel starvation as a result of a mechanics failure to properly tighten the B-nut to the fuel pump inlet during a recent annual inspection. Contributing to the accident was the pilot's decision to take off despite indications that the engine was not operating normally.,2015
76537,Accident,2015-04-19,Non-Fatal,Substantial,Airplane,CIRRUS DESIGN CORP,Personal,0.0,0.0,0.0,4.0,"The pilot's improper decision to land the airplane with a quartering, gusting tailwind and his subsequent failure to flare the airplane and maintain directional control after it bounced, which resulted in a runway excursion.",2015
76538,Accident,2015-04-19,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,1.0,0.0,The pilot's failure to maintain control of the airplane while taking off with a gusting crosswind.,2015
76539,Accident,2015-04-19,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,2.0,"The pilot's failure to maintain airplane control, resulting in a hard landing.",2015
76540,Accident,2015-04-20,Non-Fatal,Substantial,Airplane,MOONEY,Personal,0.0,0.0,1.0,0.0,The total loss of engine power for reasons that could not be determined due to thermal damage and because postaccident examination of the engine revealed no anomalies that would have precluded normal operation.,2015
76542,Accident,2015-04-20,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during landing.,2015
